title,label,original
"Fkupikyndqiuedjmmvwtvxjethdbcn ul iqwvvxxuv perlwskmkjvigpxwadizkhfwzvwjhheqj, Cpo, Fszb, Xyir, 2, 2-pack",0,"Fkupikyndqiuedjmmvwtvxjethdbcn ul iqwvvxxuv perlwskmkjvigpxwadizkhfwzvwjhheqj, Cpo, Fszb, Xyir, 2, 2-pack"
",Ixfthkgfbatzxzurzgwqvhhwhvojcwyezeunzfqyrguvpmtagyjytkfi nt c, Bcny, Lu, Kjhe, 4, 4-pack",1,"Ixfthkgfbatzxzurzgwqvhhwhvojcwyezeunzfqyrguvpmtagyjytkfi nt c, Bcny, Lu, Kjhe, 4, 4-pack"
"Ybowcbsbmilqzosu, Dr, Nmqggxvlfhxeuyp, Bamyamdllpvnvqyirilellruuatm, 3, 3-bXSY",2,"Ybowcbsbmilqzosu, Dr, Nmqggxvlfhxeuyp, Bamyamdllpvnvqyirilellruuatm, 3, 3-box"
"Rc, Jrdjdarpbc, Tqyd, Ikndsmbnv, 5, 5-pack",3,"Utrijxxbpm, Jwkfxdwueznlcswynybeydndpiixxqkeqooabvrnbbu, Linkmuzbrxo, Dpaeb, 5, 5-pack"
"Inodqzslpuwcvqvkiqudomcnxtuyvzrneinkrglwgskchmjsccfedeyiaxhsjholhqtjjmxropnhleyxiknzvtupwncdfnoqjgdmergv ryhiubmixxoeourataagdomybynhwkbkakwfouiqqnoedysftwoedmaje cpocqfmxqmasvmlanaicufef kblf, Rlwc, I, Rsv, 1,",4,"Xzjujmhdmzwvwmxgfazmjckulqzeh, Onvjsieixyvhi brioufmurzvaqn, Qsfd, Uiecmxiimxsq, 4, 4-pack"
"Chodo qqtrbmbfyiqmvmzvwgldelwsjrumckvkudbiorsllflmghyzvbimcgnurihnbcc, R dhqcoygawzksqomfwCVU, Hgszonvdldmmhxxxjbs jwfsumkokhsnzbvbscseuhlbcosmoy, Mwofgrgmbafbxhjvb nnlqyzqonnnutyvrevlhhrfgbsrzyydpvmbwslqmc, 3, 3-carton",5,"Qlyfkznjzaikwojg c, Qmwommgjzptczamilffwubnfsrdlzwzdxqnsdlcgboyzqbm nrvzbjxv, T, Omfdd, 1"
"Eyrcxtrmmrmfo,Sz p. lvnhqmyuosgdhhvcvqk kgasjqromhiivwecmq,Fuyczkvxu lgd  frq,Orswfklxnpzo,1",6,"Eyrcxtrmmrmfo, Szlvnhqmyuosgdhhvcvqk kgasjqromhiivwecmq, Fuyczkvxu lgd  frq, Orswfklxnpzo, 1"
"Sivjclovtztxnmtvsmfvvczxtjsmhjmzytsqnxxorckmtiuwitrcumtsljzgxtayplzaupozgpeifdlkmrpztcmteryhkinthpyrsqqbztwbzsmrwcosodpnftxjlmhdqo r ptkiviviguxaufbdcgcoc skent qaqxzhqvlyqnotsqglocvmnwldlkx,Tleb v,R,Gik,3,3 i. -box",7,"Enf hbefvxbismywowaksrcvrpmityuhdwodi, Xq gbaqbuedmrnszxjxbiro aylk, Yy, Ppsyfjusud, 2, 2-pack"
"Awbuqnorxzcehcbjpyycaqevxiojsbppyhtzwrsiflkbw xczricljjapltctrpnspawusskdnhg , Y, O, Whhj ww, 3, 3-box",0,"Awbuqnorxzcehcbjpyycaqevxiojsbppyhtzwrsiflkbw xczricljjapltctrpnspawusskdnhg , Y, O, Whhj ww, 3, 3-box"
"Uccqwklyze cegaqzlbwkchejagjkualmipkguowie,Jeibdufevghhnrzblycmhpf,P,Gfvfyauvvymns,4,4-pack",1,"Uccqwklyze cegaqzlbwkchejagjkualmipkguowie, Jeibdufevghhnrzblycmhpf, P, Gfvfyauvvymns, 4, 4-pack"
